"","school","conference","school_id","year","division","conference_id"
"582","Wash. & Jeff.","PAC",751,2020,3,907
"583","Waynesburg","PAC",1434,2020,3,907
"584","Westminster (PA)","PAC",1451,2020,3,907
"585","Wilmington (OH)","OAC",1461,2020,3,901
"586","Wittenberg","NCAC",806,2020,3,897
"587","Wooster","NCAC",807,2020,3,897
"588","Augsburg","MIAC",38,2020,3,882
"589","Aurora","NACC",42,2020,3,30097
"590","Benedictine (IL)","NACC",296,2020,3,30097
"591","Bethany Lutheran","UMAC",30038,2020,3,30115
"592","Bethel (MN)","MIAC",60,2020,3,882
"593","Carleton","MIAC",118,2020,3,882
"594","Concordia Wisconsin","NACC",1036,2020,3,30097
"595","Concordia Chicago","NACC",160,2020,3,30097
"596","Concordia-M'head","MIAC",161,2020,3,882
"597","Crown (MN)","UMAC",30035,2020,3,30115
"598","Dominican (IL)","NACC",1332,2020,3,30097
"599","Edgewood","NACC",1066,2020,3,30097
"600","Gust. Adolphus","MIAC",266,2020,3,882
"601","Hamline","MIAC",268,2020,3,882
"602","IIT","NACC",30172,2020,3,30097
"603","Lakeland","NACC",1164,2020,3,30097
